Comment
['aplikasi', 'bantu', 'ajar']
['aplikasi', 'ajar', 'keluar', 'biaya', 'video', 'materi', 'ajar']
['bantu', 'paham', 'ajar', 'smp', 'sampai', 'materi', 'sederhana', 'mudah', 'paham', 'video', 'materi', 'ulang', 'ulang', 'ditontong', 'paham', 'materi']
['bagus', 'sih', 'aplikasi', 'kalo', 'bahasa', 'mandarin', 'bagus', 'bantu', 'kalo', 'sisa', 'bagus', 'jelasinnya', 'langsung', 'paham', 'pokok', 'bagus', 'deh']
['ok']
['sekolah', 'ga', 'mudeng', 'karna', 'guru', 'milih', 'yg', 'ngerti', 'ajarin', 'nyari', 'nyari', 'apk', 'ajar', 'eh', 'zenius']
['bantu']
['sumpah', 'bagus', 'banget', 'minggu', 'pakai', 'langsung', 'jago', 'rekomendasiin', 'aplikasi', 'suka', 'ajar', 'cepat', 'cepat', 'tanggap']
['suka', 'banget', 'pokok', 'ngebantu', 'ajar', 'paham', 'konsep', 'dasar', 'bikin', 'pede', 'pas', 'kalo', 'guru', 'xixixi', 'thanks']
['ber', 'manfaat']
['mantap', 'zenius', 'paham', 'kimia']
['bantu', 'ajar']
['latih', 'yg', 'muas']
['puasa', 'denganpelatihan', 'trima', 'kasih', 'zenpro']
['aplikasi', 'bagus']
['apk', 'ny', 'baguss', 'bngt', 'ajar']
['bantu']
['bagus']
['zenius', 'platfrom', 'didik', 'sedia', 'fasilitas', 'gratis', 'good', 'job', 'zenius', 'karna', 'bantu', 'orang', 'orang', 'dgn', 'ekonomi', 'rendah', 'apalgi', 'apa', 'serba', 'mahal', 'harap', 'zenius', 'kembang', 'milik', 'ajar', 'akses', 'gratis', 'tambah', 'guna', 'free', 'hihihi']
['nice']
['keren']
['turunin', 'bintang', 'bug', 'kalo', 'klik', 'next', 'selesai', 'kerjain', 'latih', 'yg', 'materi', 'zenutbk', 'video', 'putar', 'video', 'kadang', 'kadang', 'nggak', 'buka', 'zencore', 'maju', 'ngabisin', 'kualitas', 'internet', 'bagus', 'moga', 'diperbaikin']
['guna', 'bantu', 'ajar']
['bismillah', 'zenius', 'beneran']
['suka', 'ajar', 'zenius', 'simpel']
['mantapapk', 'nya', 'mudah', 'paham', 'ajar']
['aplikasi', 'udah', 'oke', 'tapikekurangan', 'nya', 'gak', 'tampil', 'materisaat', 'semester', 'lihat', 'materi', 'semester', 'doang', 'gak', 'lihat', 'materi', 'semester']
['terbantuuu']
['moga', 'insan', 'cca', 'cerdas', 'cerah', 'asik']
['manfaat', 'bangett', 'moga', 'depan', 'keren']
['the', 'best']
['bagusss', 'sukaa', 'bangett', 'zenius']
['ygy']
['cocok', 'guna', 'ajar', 'nilai', 'nya', 'bawah', 'kkm', 'kls', 'iii', 'kls', 'vi', 'terima', 'kasih', 'zenius']
['cristiano', 'ronaldo', 'shuuuuuuuu']
['apk', 'nya', 'ngebantu', 'banget']
['keren', 'apl', 'nyapenjelasan', 'mudah', 'paham']
['bantu', 'kekbgw', 'yg', 'gk', 'mtk', 'cuk']
['kk', 'zenius', 'bayar', 'y']
['sipp', 'mantapppp', 'zenius']
['puas', 'zenius']
['ajar', 'gratis', 'gak', 'bosenin', 'asik', 'banget', 'kuyyy', 'pr', 'ku', 'jawab']
['bantu', 'selesai', 'tugas', 'sulit', 'erti', 'makasih', 'zenius', 'tugas', 'cepat', 'selesai', 'mudah', 'paham']
['matap', 'rangking', 'zenius', 'makasih', 'ya', 'udah', 'ajarin']
['suka', 'aplikasi']
['matep', 'dah']
['bagusss']
['aplikasi', 'ajar', 'yg', 'bagus', 'aplikasi', 'ajar', 'ga', 'susah', 'susah', 'hafal', 'trs', 'ajar', 'utk', 'ulang', 'jd', 'mudah', 'terkadang', 'mapel', 'yg', 'mana', 'bab', 'sedia']
['aplikasi', 'bagus', 'bosen', 'ajar', 'sekolah']
['asik']
['bagus', 'banget', 'aplikasi', 'nya']
['zen', 'practice', 'deprak', 'ajar', 'tolong', 'baik', 'sesuai', 'bab', 'ngerjainnya', 'bab', 'bab', 'pilih', 'kayak']
['zenius', 'ter', 'mantep']
['oke']
['halo', 'bintang', 'guna', 'aplikasi', 'loading', 'dar', 'cek', 'akun', 'sinyal', 'wifi', 'lancar', 'tolong', 'baik', 'ya', 'terima', 'kasih']
['bagus', 'ajar']
['bagusss']
['bagus', 'banget', 'ajar']
['aplikasi', 'bagus']
['bantu', 'ajar']
['mantap']
['terimakasih', 'alam', 'ajar']
['hai', 'everyon', 'ak', 'pake', 'apl', 'ngebantu', 'bat', 'sih', 'kek', 'wow', 'its', 'omg']
['bantu']
['bagusss', 'bgt']
['good']
['sukaaaaaaaa']
['zenius', 'bantu', 'ajar', 'materi', 'murid']
['bantu', 'trimakasih', 'zenius', 'tingkat', 'banyak', 'video', 'ajar']
['zenius', 'tolong', 'tambah', 'materi', 'smk', 'serta', 'jurus', 'masuk', 'smk']
